secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-03-07,4.4681547775044083e-07,0.010611196934988583,-11.97891301300607,-13.419136812049663,-13.235020913583261,-14.62112012901197,garman_klass,True
GLDRUB_TOM,2018-03-13,4.895285624755627e-09,0.001110680862101449,-15.914456602534512,-13.389312908468177,-13.543872693763157,-19.134993212358665,garman_klass,True
GLDRUB_TOM,2018-03-19,1.5533527095965328e-06,0.019784966080797974,-12.589437843791135,-15.879629219561437,-13.86177423253608,-13.375094924583445,garman_klass,True
GLDRUB_TOM,2018-03-20,3.060798766412865e-07,0.008782489903985327,-13.375094924583445,-15.033175326911083,-13.834736493205376,-14.999419734282233,garman_klass,True
GLDRUB_TOM,2018-03-21,4.4779212125691524e-07,0.010622787513489227,-14.999419734282233,-13.654650834218936,-13.89603561115679,-14.618936727271253,garman_klass,True
GLDRUB_TOM,2018-03-22,3.7433531818516297e-06,0.030713596367514674,-14.618936727271253,-13.895722307482016,-13.954000485404812,-12.49552877553145,garman_klass,True
GLDRUB_TOM,2018-03-23,1.0819610094194566e-05,0.05221629768316623,-12.49552877553145,-13.615683601091902,-13.887408441128414,-11.434150320851932,garman_klass,True
GLDRUB_TOM,2018-03-26,2.1303463427111907e-05,0.07326986272426202,-11.434150320851932,-13.384626096504064,-13.74840801855095,-10.756640896255375,garman_klass,True
GLDRUB_TOM,2018-03-27,2.4543760672064696e-06,0.024869715899785233,-10.756640896255375,-12.86093529083845,-13.579699226890783,-12.917637976796215,garman_klass,True
GLDRUB_TOM,2018-03-28,7.825178346860431e-07,0.014042595712363255,-12.917637976796215,-12.444578939341245,-13.811556006408537,-14.06074912286079,garman_klass,True
GLDRUB_TOM,2018-03-29,2.5250266200518096e-06,0.025225120579554342,-14.06074912286079,-12.332941418459153,-13.8877602070672,-12.889258952697748,garman_klass,True
GLDRUB_TOM,2018-04-02,1.0752786438681187e-05,0.05205479980316569,-12.889258952697748,-12.411687453892412,-13.88660197076067,-11.4403456333798,garman_klass,True
GLDRUB_TOM,2018-04-03,1.8494976730146318e-08,0.0021588733487624676,-11.4403456333798,-12.412926516397986,-13.59702394276078,-17.80576666983276,garman_klass,True
GLDRUB_TOM,2018-04-04,2.6013680934908147e-05,0.08096571864435499,-17.80576666983276,-13.822751671113462,-13.60001659331219,-10.556887968527944,garman_klass,True
GLDRUB_TOM,2018-04-05,1.6967776433290307e-06,0.02067820026305277,-10.556887968527944,-13.35060166945981,-13.55710763082006,-13.286779609567139,garman_klass,True
GLDRUB_TOM,2018-04-10,0.00023853974894490307,0.2451775208580827,-9.149131175069334,-12.699641355749293,-13.447018681955761,-8.340974599279706,garman_klass,True
GLDRUB_TOM,2018-04-11,0.0005552593118140375,0.3740659655423592,-8.340974599279706,-10.333443338111032,-13.098121708081747,-7.496075324841324,garman_klass,True
GLDRUB_TOM,2018-04-12,0.0001238781118367522,0.1766841367606655,-7.496075324841324,-9.568240177189375,-12.803277161595409,-8.996212444848597,garman_klass,True
GLDRUB_TOM,2018-04-13,1.1661030852523148e-06,0.017142286238526743,-8.996212444848597,-8.495598386009739,-12.439159048032991,-13.661843064636543,garman_klass,True
GLDRUB_TOM,2018-04-16,1.433923057748504e-05,0.06011227915764158,-13.661843064636543,-9.5288473217351,-12.151098513942353,-11.152511379916763,garman_klass,True
GLDRUB_TOM,2018-04-17,3.876150289699217e-06,0.031253637756334905,-11.152511379916763,-9.929523362704586,-12.101169157241074,-12.460668090255261,garman_klass,True
GLDRUB_TOM,2018-04-18,2.511345570485848e-06,0.025156690636139598,-12.460668090255261,-10.753462060899697,-12.118288154051275,-12.894691864603296,garman_klass,True
GLDRUB_TOM,2018-04-23,1.733395534271296e-06,0.02090013575640997,-12.510847352378313,-12.254679671788407,-11.946281897470076,-13.265428336532342,garman_klass,True
GLDRUB_TOM,2018-04-24,5.137987740049396e-06,0.035982953054084485,-13.265428336532342,-12.782908910942304,-11.87860647793313,-12.178849045412283,garman_klass,True
GLDRUB_TOM,2018-04-26,2.633508593904895e-06,0.025761292003003915,-12.178849045412283,-12.712454149731558,-11.862772491427174,-12.847193534726642,garman_klass,True
GLDRUB_TOM,2018-05-08,1.616012325556239e-06,0.020180067047464736,-11.602302004866411,-12.209448195001778,-11.807542613965122,-13.335548970693814,garman_klass,True
GLDRUB_TOM,2018-05-10,4.105799974111185e-09,0.0010171831661387337,-13.335548970693814,-12.595014836762289,-11.832336503853792,-19.310865235047466,garman_klass,True
GLDRUB_TOM,2018-05-11,3.0644262932640335e-06,0.027789124237775763,-19.310865235047466,-14.749572070202563,-12.269587592835329,-12.695650186108198,garman_klass,True
GLDRUB_TOM,2018-05-14,7.960447133431638e-06,0.04478875615179297,-12.695650186108198,-14.236091599178971,-11.98569223262841,-11.741025387143937,garman_klass,True
GLDRUB_TOM,2018-05-15,8.905855486122896e-07,0.014980906456229442,-11.741025387143937,-13.737078356771965,-12.051477644773742,-13.931386670765479,garman_klass,True
GLDRUB_TOM,2018-05-16,3.943183713181455e-07,0.009968361428648776,-13.931386670765479,-14.202895289951778,-12.08728914817365,-14.746107204913505,garman_klass,True
GLDRUB_TOM,2018-05-17,1.726910372079164e-06,0.020861002223382014,-14.746107204913505,-14.485006936795717,-12.227226940633644,-13.269176658189815,garman_klass,True
GLDRUB_TOM,2018-05-18,1.5544817652393092e-06,0.01979215513379748,-13.269176658189815,-13.276669221424186,-12.444071439745247,-13.374368337822412,garman_klass,True
GLDRUB_TOM,2018-05-21,1.1074426883757909e-05,0.05282760239407987,-13.374368337822412,-13.41241285176703,-12.708986899668547,-11.410871992016967,garman_klass,True
GLDRUB_TOM,2018-05-22,5.4901682609478324e-06,0.0371957309614807,-11.410871992016967,-13.346382172741636,-12.915028829519898,-12.112551654288117,garman_klass,True
GLDRUB_TOM,2018-05-23,1.8033399221264487e-05,0.06741228822520899,-12.112551654288117,-12.982615169446163,-13.079046682648293,-10.923285007112067,garman_klass,True
GLDRUB_TOM,2018-05-24,1.732306977406136e-06,0.02089357217678074,-10.923285007112067,-12.218050729885878,-12.934912048041742,-13.266056524841806,garman_klass,True
GLDRUB_TOM,2018-05-25,1.7304259976738314e-05,0.06603539591868936,-13.266056524841806,-12.217426703216272,-13.046151266195691,-10.964557845343025,garman_klass,True
