date,metals_ru,macro_ru,metals_en,attention_google
2018-01-01,0.12999999999999998,0.014000000000000002,0.026000000000000002,0.07439999999999998
2018-01-02,0.12967741935483873,0.014000000000000002,0.02574193548387097,0.07418709677419355
2018-01-03,0.1293548387096774,0.014000000000000002,0.02548387096774194,0.07397419354838708
2018-01-04,0.1290322580645161,0.014000000000000002,0.025225806451612903,0.07376129032258062
2018-01-05,0.12870967741935485,0.014000000000000002,0.024967741935483873,0.07354838709677419
2018-01-06,0.12838709677419352,0.014000000000000002,0.02470967741935484,0.07333548387096772
2018-01-07,0.12806451612903227,0.014000000000000002,0.024451612903225804,0.07312258064516129
2018-01-08,0.12774193548387097,0.014000000000000002,0.024193548387096774,0.07290967741935483
2018-01-09,0.1274193548387097,0.014000000000000002,0.023935483870967743,0.07269677419354839
2018-01-10,0.1270967741935484,0.014000000000000002,0.023677419354838712,0.07248387096774193
2018-01-11,0.12677419354838712,0.014000000000000002,0.023419354838709678,0.07227096774193549
2018-01-12,0.12645161290322582,0.014000000000000002,0.023161290322580647,0.07205806451612903
2018-01-13,0.12612903225806454,0.014000000000000002,0.022903225806451613,0.07184516129032259
2018-01-14,0.12580645161290324,0.014000000000000002,0.02264516129032258,0.07163225806451613
2018-01-15,0.12548387096774194,0.014000000000000002,0.022387096774193548,0.07141935483870968
2018-01-16,0.12516129032258067,0.014000000000000002,0.022129032258064518,0.07120645161290323
2018-01-17,0.12483870967741936,0.014000000000000002,0.021870967741935483,0.07099354838709677
2018-01-18,0.12451612903225806,0.014000000000000002,0.021612903225806453,0.07078064516129032
2018-01-19,0.1241935483870968,0.014000000000000002,0.021354838709677422,0.07056774193548389
2018-01-20,0.12387096774193548,0.014000000000000002,0.021096774193548388,0.07035483870967742
2018-01-21,0.12354838709677418,0.014000000000000002,0.020838709677419357,0.07014193548387096
2018-01-22,0.12322580645161292,0.014000000000000002,0.020580645161290323,0.06992903225806453
2018-01-23,0.1229032258064516,0.014000000000000002,0.02032258064516129,0.06971612903225806
2018-01-24,0.1225806451612903,0.014000000000000002,0.020064516129032258,0.0695032258064516
2018-01-25,0.12225806451612904,0.014000000000000002,0.019806451612903224,0.06929032258064517
2018-01-26,0.12193548387096773,0.014000000000000002,0.019548387096774193,0.0690774193548387
2018-01-27,0.12161290322580647,0.014000000000000002,0.019290322580645163,0.06886451612903227
2018-01-28,0.12129032258064516,0.014000000000000002,0.01903225806451613,0.06865161290322581
2018-01-29,0.1209677419354839,0.014000000000000002,0.018774193548387098,0.06843870967741937
2018-01-30,0.12064516129032259,0.014000000000000002,0.018516129032258064,0.06822580645161291
2018-01-31,0.12032258064516128,0.014000000000000002,0.018258064516129033,0.06801290322580646
2018-02-01,0.12000000000000002,0.014000000000000002,0.018000000000000002,0.06780000000000001
2018-02-02,0.1197142857142857,0.014000000000000002,0.018285714285714287,0.06771428571428571
2018-02-03,0.11942857142857144,0.014000000000000002,0.018571428571428572,0.06762857142857143
2018-02-04,0.11914285714285713,0.014000000000000002,0.018857142857142857,0.06754285714285713
2018-02-05,0.11885714285714286,0.014000000000000002,0.01914285714285715,0.06745714285714285
2018-02-06,0.11857142857142859,0.014000000000000002,0.019428571428571427,0.06737142857142858
2018-02-07,0.11828571428571429,0.014000000000000002,0.019714285714285715,0.06728571428571428
2018-02-08,0.11800000000000002,0.014000000000000002,0.02,0.06720000000000001
2018-02-09,0.1177142857142857,0.014000000000000002,0.02028571428571429,0.06711428571428571
2018-02-10,0.11742857142857144,0.014000000000000002,0.02057142857142857,0.06702857142857142
2018-02-11,0.11714285714285713,0.014000000000000002,0.02085714285714286,0.06694285714285714
2018-02-12,0.11685714285714285,0.014000000000000002,0.021142857142857144,0.06685714285714285
2018-02-13,0.11657142857142855,0.014000000000000002,0.02142857142857143,0.06677142857142856
2018-02-14,0.11628571428571428,0.014000000000000002,0.021714285714285717,0.06668571428571429
2018-02-15,0.11600000000000002,0.014000000000000002,0.022000000000000002,0.0666
