secid,model,MAE,RMSE,R2_OOS,QLIKE
GLDRUB_TOM,kNN(k=75),0.671415,0.87712,0.162507,0.682541
SLVRUB_TOM,kNN(k=30),0.858658,1.08588,0.345233,1.166698
